stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,nearest_node
München Hbf Gl.27-36,485910,663407,48.14153,11.556708,,,1141315749
München Hbf Gl.5-10,485910,58241,48.13993,11.554814,,,3078842206
München Heimeranplatz,422476,426358,48.13296,11.5315,,,247025046
München Hirschgarten,475292,290480,48.14354,11.519245,,,21411421
München Isartor,588598,414078,48.1342,11.583234,,,607162448
München Karlsplatz,174203,658175,48.139454,11.565619,,,1109176883
München Leienfelsstr.,442021,580105,48.154537,11.428524,,,3105950817
München Leuchtenbergring,369228,641073,48.13425,11.615986,,,21096510
München Marienplatz,580508,520053,48.137047,11.575386,,,342246643
München Ost,252515,388160,48.12744,11.604971,,,1170803296
München Rosenheimer Platz,158504,28350,48.12917,11.593049,,,1293262061
München Siemenswerke,200798,50607,48.0945,11.532799,,,5359656100
München St.Martin-Str.,491821,130115,48.11854,11.595785,,,29628907
"München, Seidlstraße",133887,501984,48.14231,11.556036,,,1141315726
München-Allach,359512,145105,48.189934,11.468036,,,194568411
München-Aubing,9281,555337,48.155968,11.413309,,,130064
München-Berg am Laim,297882,566656,48.134003,11.633295,,,3708568544
München-Daglfing,222777,329764,48.149624,11.64933,,,30978648
München-Englschalking,294279,376151,48.156914,11.648335,,,155101888
München-Fasanerie,445409,79834,48.19781,11.525924,,,54773744
München-Fasangarten,221508,160732,48.092747,11.606009,,,4018297214
München-Feldmoching,593185,301170,48.213814,11.541318,,,288250417
München-Freiham,654427,679517,48.14,11.410112,,,2466332549
München-Giesing,472725,330745,48.1108,11.596346,,,275403620
München-Johanneskirchen,50566,92684,48.167637,11.646058,,,1879425387
München-Karlsfeld,50379,350827,48.211178,11.459568,,,11296261134
München-Laim,98284,553153,48.14437,11.503669,,,3488483885
München-Langwied,512801,242685,48.163113,11.432508,,,1971335380
München-Lochhausen,460894,334163,48.176506,11.407895,,,107997569
München-Mittersendling,527929,308953,48.107822,11.536354,,,1423387408
München-Moosach,617307,485585,48.18026,11.506237,,,171476605
München-Neuaubing,256203,128611,48.141705,11.422197,,,5579011270
München-Neuperlach Süd,118943,5047,48.088684,11.645175,,,2041308
München-Obermenzing,173185,96539,48.164223,11.478117,,,2383113
München-Pasing,70014,577748,48.149853,11.461872,,,6468140233
München-Perlach,553453,516801,48.093426,11.631208,,,21675483
München-Riem,103631,110919,48.143982,11.678049,,,89335502
München-Solln,535915,54491,48.07992,11.526954,,,417790816
München-Trudering,592036,371085,48.126064,11.663375,,,13570819
München-Untermenzing,555060,478897,48.177673,11.472792,,,279303286
München-Westkreuz,342296,432658,48.149025,11.44394,,,60877251
Münchner Freiheit,388097,205601,48.161545,11.586264,,,21092020
Münchner Freiheit,388097,212754,48.162334,11.586632,,,260827627
Münchner Freiheit,388097,300569,48.16186,11.585797,,,28092165
Münchner Freiheit,388097,330062,48.161507,11.586489,,,21092020
Münchner Freiheit,388097,416464,48.16223,11.586533,,,260827627
Münchner Freiheit,388097,460231,48.16243,11.586659,,,260827627
Münchner Freiheit,388097,590566,48.16156,11.586111,,,4956635662
Münchner Freiheit,388097,659853,48.162838,11.586183,,,6578727
Münchner Freiheit,388097,97915,48.161526,11.586372,,,21092020
Münsinger Straße,565832,270544,48.090405,11.517255,,,26846433
Münsinger Straße,565832,573387,48.09054,11.517857,,,26846433
Nailastraße,316745,146675,48.08854,11.633021,,,21675444
Nailastraße,316745,369071,48.088844,11.633866,,,21675444
Nationalmuseum/Haus der Kunst,557371,247763,48.142754,11.588573,,,564568
Nationalmuseum/Haus der Kunst,557371,421799,48.14332,11.587881,,,28096036
Nationalmuseum/Haus der Kunst,557371,55741,48.142838,11.589201,,,564568
Nationalmuseum/Haus der Kunst,557371,564061,48.14332,11.588573,,,274852816
Nationaltheater,104936,373805,48.139355,11.57844,,,25274621
Nationaltheater,104936,679591,48.139362,11.579131,,,25274621
Nauestraße,523782,90427,48.098824,11.677254,,1,261699570
Nawiaskystraße,584198,167508,48.107567,11.636686,,,1073094754
Nawiaskystraße,584198,264459,48.10658,11.636381,,,1073094725
Nebel,490412,644278,48.119816,11.325474,,Ri,1096406559
Nebel,490412,96716,48.119904,11.325231,,Ri,1096406559
Nederlinger Straße,392047,142979,48.16954,11.511335,,,2467495003
Nederlinger Straße,392047,406498,48.169373,11.510302,,,2467495003
Nederlinger Straße,392047,521705,48.170357,11.511156,,,2467495011
Nederlinger Straße (West),335637,168461,48.17086,11.508784,,,440658
Nederlinger Straße (West),335637,173256,48.17053,11.509018,,,440658
Nesselwanger Straße,454943,494399,48.084824,11.490836,,,7635514317
Nesselwanger Straße,454943,606380,48.0847,11.490827,,,7635514317
Nettelbeckstraße,216769,423403,48.14332,11.639229,,,50744427
Nettelbeckstraße,216769,485380,48.14275,11.638645,,,17419568
"Neu-Esting, Jeisstraße",73541,2101,48.21743,11.32736,,,344652410
"Neu-Esting, Jeisstraße",73541,631568,48.21766,11.327711,,,344652410
"Neu-Esting, Weinstraße",555268,100480,48.21478,11.321989,,,344652410
"Neu-Esting, Weinstraße",555268,253552,48.215256,11.32242,,,344652410
"Neuaubing (S), München",19803,145509,48.142723,11.423416,,,132140
Neuaubing Bf./Limesstraße,19803,171285,48.143665,11.423525,,,371715
Neuaubing Bf./Limesstraße,19803,452846,48.143425,11.423462,,,371715
Neuaubing West,366187,554365,48.15259,11.409853,,,371657
Neuaubing West,366187,65749,48.152542,11.41023,,,371657
Neubiberg,59036,137514,48.076572,11.660734,,,239960862
Neubiberg,59036,212367,48.07663,11.660096,,,239960862
Neubiberg,59036,372041,48.075848,11.660222,,,239960862
"Neubiberg, Am Hachinger Bach",680666,111116,48.0841,11.625844,,,21675464
"Neubiberg, Am Hachinger Bach",680666,208289,48.083702,11.62437,,,21675464
"Neubiberg, Anzengruberstr.",280696,530288,48.07554,11.690172,,,169013319
"Neubiberg, Anzengruberstr.",280696,557109,48.07566,11.690136,,,169013319
"Neubiberg, Barbarossastraße",169825,201455,48.07511,11.671846,,,324377142
"Neubiberg, Barbarossastraße",169825,357804,48.075047,11.671514,,,324377142
"Neubiberg, Campeon",69292,338344,48.08151,11.617382,,,32621000
"Neubiberg, Campeon West",253240,467202,48.079754,11.611677,,,26821143
"Neubiberg, Gymnasium",365261,30080,48.07211,11.676976,,,324377142
"Neubiberg, Gymnasium",365261,344041,48.07261,11.677093,,,169033164
"Neubiberg, Kaiserstraße",74594,127943,48.07545,11.666537,,,15355045
"Neubiberg, Kaiserstraße",74594,297265,48.075294,11.667409,,,15355045
"Neubiberg, Lena-Christ-Straße",172521,255040,48.075108,11.686246,,,169013319
"Neubiberg, Lena-Christ-Straße",172521,572342,48.074917,11.685698,,,169013319
"Neubiberg, Lilienthalstraße",310659,192436,48.08271,11.638797,,,21675404
"Neubiberg, Lilienthalstraße",310659,487528,48.082825,11.638474,,,21675404
"Neubiberg, Marktplatz",640175,199861,48.08258,11.628323,,,21675464
"Neubiberg, Marktplatz",640175,558367,48.082638,11.627865,,,21675464
"Neubiberg, Rathaus",665,119971,48.076145,11.662288,,,15355054
"Neubiberg, Realschule",624500,682322,48.071144,11.681548,,,169013319
"Neubiberg, Schulzstraße",238300,516399,48.0748,11.675889,,,324377142
"Neubiberg, Schulzstraße",238300,662460,48.07469,11.676131,,,15431143
"Neubiberg, Universität Bw-Ost",556673,301907,48.08199,11.646514,,,15355038
"Neubiberg, Universität Bw-Ost",556673,654634,48.08181,11.646945,,,15355038
"Neubiberg, Universitätsstraße",404816,311967,48.082428,11.632734,,,21675422
"Neubiberg, Universitätsstraße",404816,523252,48.08273,11.632886,,,21675422
"Neubiberg, W.-Heisenberg-W.",399055,120246,48.07836,11.651544,,,21595735
"Neubiberg, W.-Heisenberg-W.",399055,39160,48.078262,11.651482,,,21595735
"Neubiberg, W.-Heisenberg-W.",399055,588010,48.07805,11.652407,,,21595735
"Neubiberg, Walkürenstr.",74464,327103,48.07566,11.676958,,,15431143
"Neubiberg, Walkürenstr.",74464,82072,48.07534,11.677048,,,15431143
"Neubiberg, Wotanstraße",612207,269263,48.07419,11.680255,,,169022453
"Neubiberg, Wotanstraße",612207,65304,48.07426,11.679302,,,169033164
"Neubiberg,Brunhildenstr.",381907,546815,48.077843,11.676886,,,15431143
"Neubiberg,Brunhildenstr.",381907,68991,48.07781,11.677012,,,15431143
Neuer Südfriedhof,16609,46562,48.100975,11.622259,,,4878817819
Neuer Südfriedhof,16609,76290,48.100857,11.62305,,,4878818721
"Neufinsing, An der Dorfen",559540,354164,48.234108,11.783345,,,7984182
"Neufinsing, An der Dorfen",559540,653494,48.234325,11.783166,,,7984182
"Neufinsing, Seestraße",333391,426121,48.223213,11.791547,,,7984182
"Neufinsing, Seestraße",333391,673387,48.223278,11.791493,,,7984182
Neufreimann,351825,401220,48.198395,11.598041,,1,11815515342
Neuhausen,666658,126494,48.156364,11.531574,,,3008660224
Neuhausen,666658,461581,48.15628,11.531233,,,27590215
Neuhausen,666658,679031,48.156322,11.531413,,,3008660224
"Neuherberg, FC Bayern Campus",279241,535191,48.211845,11.587692,,,59899819
"Neuherberg, FC Bayern Campus",279241,573111,48.213978,11.587549,,,59899819
"Neuherberg, Helmholtz-Zentrum",45411,278071,48.220398,11.58754,,,2010362574
"Neuherberg, Helmholtz-Zentrum",45411,390955,48.22048,11.587881,,,2010362574
Neuherbergstraße,514757,283419,48.21006,11.587324,,,21225723
Neuherbergstraße,514757,60878,48.210564,11.586524,,,59899437
Neuherbergstraße,514757,654412,48.2101,11.586866,,,1955789
Neuhimmelreich,255816,460523,48.24059,11.405487,,,190822936
Neuhimmelreich,255816,512521,48.24035,11.405101,,,190822936
"Neuhimmelreich, Abzw. Günding",684112,582916,48.23597,11.400915,,,190822936
"Neuhimmelreich, Abzw. Günding",684112,620407,48.236008,11.400995,,,190822936
Neuhofen,73740,164488,48.10701,11.53983,,,26514709
Neuhofen,73740,512508,48.107304,11.540162,,,26514733
"Neukeferloh, Am Weichselgarten",269334,36917,48.100418,11.764005,,,307480216
"Neukeferloh, Bahnhofstraße",592146,158697,48.102222,11.762792,,,307480216
"Neukeferloh, Bretonisch.Ring",655172,273074,48.1008,11.760744,,,307480216
