osmid,y,x,street_count,highway,ref,railway,geometry,gtfs_stop_count,degree_centrality
237824916,5328724.174532066,688854.1911257152,1,turning_circle,,,POINT (688854.1911257152 5328724.174532066),0,7.125044531528322e-05
290559602,5328723.4100819025,688942.0410786534,3,,,,POINT (688942.0410786534 5328723.4100819025),0,0.00021375133594584968
252022775,5342454.521185519,692014.8222074658,3,,,,POINT (692014.8222074658 5342454.521185519),0,0.00021375133594584968
240935764,5342512.315713245,692019.9128909044,1,,,,POINT (692019.9128909044 5342512.315713245),0,7.125044531528322e-05
253082536,5342067.540455406,691919.0144637809,3,,,,POINT (691919.0144637809 5342067.540455406),0,0.00021375133594584968
1637882600,5342159.885605627,692048.2257504689,3,,,,POINT (692048.2257504689 5342159.885605627),0,0.00021375133594584968
241771567,5336161.923348398,695503.8926466553,3,,,,POINT (695503.8926466553 5336161.923348398),0,0.00021375133594584968
8027489083,5336162.7799608745,695441.4068286472,1,turning_circle,,,POINT (695441.4068286472 5336162.7799608745),0,7.125044531528322e-05
241781143,5340675.865407168,682421.1586504643,1,,,,POINT (682421.1586504643 5340675.865407168),0,7.125044531528322e-05
241781596,5340331.8670602655,682091.9236439004,1,turning_circle,,,POINT (682091.9236439004 5340331.8670602655),0,7.125044531528322e-05
241788941,5334810.57087842,694549.5687286999,4,,,,POINT (694549.5687286999 5334810.57087842),0,0.0002850017812611329
243348322,5330777.312290235,698182.2646548746,1,,,,POINT (698182.2646548746 5330777.312290235),0,7.125044531528322e-05
243508598,5339105.231528916,692181.8713646065,3,,,,POINT (692181.8713646065 5339105.231528916),1,0.00021375133594584968
344706965,5339645.1497258525,680221.090621532,1,,,,POINT (680221.090621532 5339645.1497258525),0,7.125044531528322e-05
243518455,5338548.005163208,680002.8304847786,2,,,,POINT (680002.8304847786 5338548.005163208),0,0.00014250089063056644
243518462,5338957.139741518,680256.6642673651,3,,,,POINT (680256.6642673651 5338957.139741518),0,0.00021375133594584968
246878841,5335858.213108699,690650.9585030532,2,,,,POINT (690650.9585030532 5335858.213108699),0,0.00014250089063056644
246994535,5339084.742590816,692578.4476800212,3,,,,POINT (692578.4476800212 5339084.742590816),0,0.00021375133594584968
246996131,5339183.903585451,692519.7979676498,3,,,,POINT (692519.7979676498 5339183.903585451),2,0.00021375133594584968
247025062,5334037.086496819,688300.4796084109,3,,,,POINT (688300.4796084109 5334037.086496819),0,0.00021375133594584968
247025061,5334093.067103189,688370.3141395628,3,motorway_junction,,,POINT (688370.3141395628 5334093.067103189),0,0.00021375133594584968
247032055,5334885.154134011,688516.9282341454,3,,,,POINT (688516.9282341454 5334885.154134011),1,0.00021375133594584968
248514104,5338643.113626319,690539.4360457794,3,,,,POINT (690539.4360457794 5338643.113626319),0,0.00021375133594584968
274010243,5338654.563719108,690588.1719910078,3,,,,POINT (690588.1719910078 5338654.563719108),0,0.00021375133594584968
274009125,5338653.704867234,690635.1231275745,3,,,,POINT (690635.1231275745 5338653.704867234),0,0.00021375133594584968
1688813349,5334261.34712449,692729.5851510724,3,,,,POINT (692729.5851510724 5334261.34712449),0,0.00021375133594584968
248966813,5337537.308525558,692927.7725450814,2,,,,POINT (692927.7725450814 5337537.308525558),0,0.00014250089063056644
249143582,5336711.771327309,693691.1067062886,1,turning_circle,,,POINT (693691.1067062886 5336711.771327309),0,7.125044531528322e-05
249309441,5336855.084554568,694935.9505439358,3,,,,POINT (694935.9505439358 5336855.084554568),0,0.00021375133594584968
249309445,5336887.382005139,694940.4327529974,1,turning_circle,,,POINT (694940.4327529974 5336887.382005139),0,7.125044531528322e-05
249309493,5336912.127725226,694873.2249908404,3,,,,POINT (694873.2249908404 5336912.127725226),0,0.00021375133594584968
249309447,5336934.830954939,694834.8618508126,4,,,,POINT (694834.8618508126 5336934.830954939),0,0.0002850017812611329
249588686,5329140.0981146535,697543.3981918623,1,,,,POINT (697543.3981918623 5329140.0981146535),0,7.125044531528322e-05
249588687,5329234.448147457,697328.5453247206,3,,,,POINT (697328.5453247206 5329234.448147457),0,0.00021375133594584968
1768733552,5329709.818405804,697823.288051772,3,,,,POINT (697823.288051772 5329709.818405804),0,0.00021375133594584968
